,treatment
GSM1375986,Normal
GSM1375987,Normal
GSM1375988,Normal
GSM1375989,Normal
GSM1375990,Normal
GSM1375991,Normal
GSM1375992,Normal
GSM1375993,Normal
GSM1375994,Normal
GSM1375995,Normal
GSM1375996,Normal
GSM1375997,Normal
GSM1375998,Normal
GSM1375999,Normal
GSM1376000,Normal
GSM1376001,Normal
GSM1376002,Normal
GSM1376003,Normal
GSM1376004,Normal
GSM1376005,Normal
GSM1376006,Normal
GSM1376007,Normal
GSM1376008,Normal
GSM1376009,Normal
GSM1376010,Normal
GSM1376011,Normal
GSM1376012,Normal
GSM1376013,Normal
GSM1376014,Normal
GSM1376015,Normal
GSM1376016,Normal
GSM1376017,Normal
GSM1376018,Normal
GSM1376019,Normal
GSM1376020,Normal
GSM1376021,Normal
GSM1376022,Normal
GSM1376023,Normal
GSM1376024,Normal
GSM1376025,Normal
GSM1376026,Normal
GSM1376027,Normal
GSM1376028,Normal
GSM1376029,Normal
GSM1376030,Normal
GSM1376031,Normal
GSM1376032,Normal
GSM1376033,Normal
GSM1376034,Normal
GSM1376035,Normal
GSM1376036,Normal
GSM1376037,Normal
GSM1376038,Normal
GSM1376039,Normal
GSM1376040,Normal
GSM1376041,Normal
GSM1376042,Normal
GSM1376043,Normal
GSM1376044,Normal
GSM1376045,Normal
GSM1376046,Normal
GSM1376047,Normal
GSM1376048,Normal
GSM1376049,Normal
GSM1376050,Normal
GSM1376051,Normal
GSM1376052,Normal
GSM1376053,Normal
GSM1376054,Normal
GSM1376055,Normal
GSM1376056,Normal
GSM1376057,Normal
GSM1376058,Normal
GSM1376059,Normal
GSM1376060,Normal
GSM1376061,Normal
GSM1376062,Normal
GSM1376063,Normal
GSM1376064,Normal
GSM1376065,Normal
GSM1376066,Normal
GSM1376067,Normal
GSM1376068,Normal
GSM1376069,Normal
GSM1376070,Normal
GSM1376071,Normal
GSM1376072,Normal
GSM1376073,Normal
GSM1376074,Normal
GSM1376075,Normal
GSM1376076,Normal
GSM1376077,COPD
GSM1376078,COPD
GSM1376079,COPD
GSM1376080,COPD
GSM1376081,COPD
GSM1376082,COPD
GSM1376083,COPD
GSM1376084,COPD
GSM1376085,COPD
GSM1376086,COPD
GSM1376087,COPD
GSM1376088,COPD
GSM1376089,COPD
GSM1376090,COPD
GSM1376091,COPD
GSM1376092,COPD
GSM1376093,COPD
GSM1376094,COPD
GSM1376095,COPD
GSM1376096,COPD
GSM1376097,COPD
GSM1376098,COPD
GSM1376099,COPD
GSM1376100,COPD
GSM1376101,COPD
GSM1376102,COPD
GSM1376103,COPD
GSM1376104,COPD
GSM1376105,COPD
GSM1376106,COPD
GSM1376107,COPD
GSM1376108,COPD
GSM1376109,COPD
GSM1376110,COPD
GSM1376111,COPD
GSM1376112,COPD
GSM1376113,COPD
GSM1376114,COPD
GSM1376115,COPD
GSM1376116,COPD
GSM1376117,COPD
GSM1376118,COPD
GSM1376119,COPD
GSM1376120,COPD
GSM1376121,COPD
GSM1376122,COPD
GSM1376123,COPD
GSM1376124,COPD
GSM1376125,COPD
GSM1376126,COPD
GSM1376127,COPD
GSM1376128,COPD
GSM1376129,COPD
GSM1376130,COPD
GSM1376131,COPD
GSM1376132,COPD
GSM1376133,COPD
GSM1376134,COPD
GSM1376135,COPD
GSM1376136,COPD
GSM1376137,COPD
GSM1376138,COPD
GSM1376139,COPD
GSM1376140,COPD
GSM1376141,COPD
GSM1376142,COPD
GSM1376143,COPD
GSM1376144,COPD
GSM1376145,COPD
GSM1376146,COPD
GSM1376147,COPD
GSM1376148,COPD
GSM1376149,COPD
GSM1376150,COPD
GSM1376151,COPD
GSM1376152,COPD
GSM1376153,COPD
GSM1376154,COPD
GSM1376155,COPD
GSM1376156,COPD
GSM1376157,COPD
GSM1376158,COPD
GSM1376159,COPD
GSM1376160,COPD
GSM1376161,COPD
GSM1376162,COPD
GSM1376163,COPD
GSM1376164,COPD
GSM1376165,COPD
GSM1376166,COPD
GSM1376167,COPD
GSM1376168,COPD
GSM1376169,COPD
GSM1376170,COPD
GSM1376171,COPD
GSM1376172,COPD
GSM1376173,COPD
GSM1376174,COPD
